VIA,Tipo,Subtipo
1004,Hombre,
1006,Hombre,
1010,Hombre,
1011,Hombre,
1013,Hombre,
1014,Hombre,
1017,Histórico,
1020,Hombre,
1023,Hombre,
1026,Hombre,
1032,Lugar/Ciudad,
1034,Hombre,
1035,Hombre,
1038,Lugar/Ciudad,
1047,Hombre,
1050,Hombre,
1052,Hombre,
1053,Hombre,
1059,Pais/Nación/Región,
1062,Hombre,
1065,Geográfico,
1068,Hombre,
1069,Hombre,
1070,Hombre,
1071,Lugar/Ciudad,
1072,Hombre,
1073,Hombre,
1074,Hombre,
1075,Hombre,
1076,Hombre,
1077,Hombre,
1078,Mujer,Cultura
1079,Hombre,
1080,Histórico,
1081,Hombre,
1083,Hombre,
1086,Lugar/Ciudad,
1087,Hombre,
1090,Hombre,
1095,Fauna,
1098,Hombre,
1099,Lugar/Ciudad,
1101,Hombre,
1104,Hombre,
1107,Hombre,
1110,Pais/Nación/Región,
1113,Histórico,
1116,Lugar/Ciudad,
1119,Artes/Cultura,
1122,Pais/Nación/Región,
1125,Hombre,
1128,Hombre,
1131,Hombre,
1143,Hombre,
1145,Hombre,
1146,Lugar/Ciudad,
1147,Hombre,
1149,Hombre,
1152,Histórico,
1153,Mujer,Cultura
1158,Hombre,
1161,Lugar/Ciudad,
1164,Otro,
1167,Hombre,
1170,Pais/Nación/Región,
1173,Lugar/Ciudad,
1175,Fauna,
1176,Hombre,
1179,Hombre,
1182,Geográfico,
1183,Hombre,
1185,Hombre,
1187,Hombre,
1188,Hombre,
1190,Flora,
1191,Hombre,
1194,Hombre,
1195,Hombre,
1197,Hombre,
1199,Hombre,
1200,Hombre,
1203,Hombre,
1205,Hombre,
1206,Histórico,
1209,Otro,
1212,Lugar/Ciudad,
1215,Fauna,
1218,Hombre,
1221,Hombre,
1223,Histórico,
1224,Hombre,
1227,Histórico,
1230,Histórico,
1231,Histórico,
1232,Histórico,
1233,Hombre,
1236,Hombre,
1239,Hombre,
1242,Hombre,
